Source_File,phone,minTime,maxTime,Preceding Token,Following Token,isWordInitial,Containing Word,Phones Per Second,K,G,B,P,D,T,ʈ,k,g,b,p,d,t,tsʰ,pʲ,tɕʰ,tɕ,ʈʂ,tʰ,kʰ,ʈʂʰ,pʷ,tʷ,ts,pʰ,kʷ,tʲ,tɕʷ
F03B_man_isolated.csv,tsʰ,27.13211,27.28211,n,aj˥˩,False,"Interval(26.90211, 27.41211, 饭菜)",11.627906976744194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʲ,27.67211,27.72211,ŋ,i˥,True,"Interval(27.67211, 28.21211, 冰箱)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,29.65651,29.82651,n,i˥,True,"Interval(29.65651, 30.17651, 期间)",12.612612612612619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,29.88651,29.98651,i˥,e˥,False,"Interval(29.65651, 30.17651, 期间)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,p,30.17651,30.23651,n,j,True,"Interval(30.17651, 30.36651, 别)",9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,30.36651,30.46651,e˧˥,a˨˩˦,True,"Interval(30.36651, 31.05651, 讲话)",8.955223880597016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,32.17655,32.24655,n,u˥˩,True,"Interval(32.17655, 32.37655, 中)",12.605042016806747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,32.78655,32.83655,n,w,True,"Interval(32.78655, 32.97655, 多)",12.82051282051288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,34.19485,34.28485,ej˥˩,aw˥˩,False,"Interval(33.98485, 34.41485, 睡觉)",8.849557522123929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,34.41485,34.58485,aw˥˩,e˧˥,True,"Interval(34.41485, 34.75485, 前)",12.711864406779664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,34.75485,34.86485,n,i˥˩,True,"Interval(34.75485, 35.09485, 记得)",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,34.92485,34.99485,i˥˩,ə˩,False,"Interval(34.75485, 35.09485, 记得)",10.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,k,35.09485,35.17485,ə˩,w,True,"Interval(35.09485, 35.61485, 关灯)",11.764705882352963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,t,35.36485,35.43485,n,o˥,False,"Interval(35.09485, 35.61485, 关灯)",9.819675058025378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
